"Subregion","Season","Temperature_Celcius","Analyte","Unit"
"Suisun Bay","Spring",16.95,"temperature","Deg C"
"Suisun Bay","Spring",16.32,"temperature","Deg C"
"Suisun Bay","Spring",16.29,"temperature","Deg C"
"Confluence","Spring",16.26,"temperature","Deg C"
"Suisun Bay","Spring",16.35,"temperature","Deg C"
"Suisun Bay","Spring",15.99,"temperature","Deg C"
"Suisun Bay","Summer",20.87,"temperature","Deg C"
"Suisun Bay","Summer",20.51,"temperature","Deg C"
"Confluence","Summer",20.53,"temperature","Deg C"
"Suisun Bay","Summer",20.16,"temperature","Deg C"
"Suisun Bay","Summer",20.13,"temperature","Deg C"
"Suisun Bay","Summer",21.73,"temperature","Deg C"
"Suisun Bay","Summer",19.94,"temperature","Deg C"
"Suisun Bay","Summer",20.2,"temperature","Deg C"
"Suisun Bay","Summer",19.83,"temperature","Deg C"
"Confluence","Summer",19.96,"temperature","Deg C"
"Suisun Bay","Fall",19.78,"temperature","Deg C"
"Suisun Bay","Fall",19.37,"temperature","Deg C"
"Suisun Bay","Fall",20.05,"temperature","Deg C"
"Suisun Bay","Fall",19.9,"temperature","Deg C"
"Suisun Bay","Fall",20.1,"temperature","Deg C"
"Suisun Bay","Fall",21,"temperature","Deg C"
"Confluence","Fall",20.5,"temperature","Deg C"
"Suisun Bay","Fall",19.9,"temperature","Deg C"
"Suisun Bay","Spring",14.69,"temperature","Deg C"
"Confluence","Spring",14.06,"temperature","Deg C"
"Suisun Bay","Spring",14.69,"temperature","Deg C"
"Suisun Bay","Spring",14.17,"temperature","Deg C"
"Suisun Bay","Spring",14.3,"temperature","Deg C"
"Suisun Bay","Spring",14.3,"temperature","Deg C"
"Confluence","Spring",14.7,"temperature","Deg C"
"Suisun Bay","Spring",14.79,"temperature","Deg C"
"Suisun Bay","Spring",14.18,"temperature","Deg C"
"Suisun Bay","Spring",14.6,"temperature","Deg C"
"Suisun Bay","Spring",14.62,"temperature","Deg C"
"Confluence","Spring",14.77,"temperature","Deg C"
"Suisun Bay","Spring",14.16,"temperature","Deg C"
"Confluence","Spring",15.3,"temperature","Deg C"
"Suisun Bay","Spring",15.59,"temperature","Deg C"
"Suisun Bay","Spring",15.78,"temperature","Deg C"
"Suisun Bay","Spring",16.04,"temperature","Deg C"
"Confluence","Spring",15.8,"temperature","Deg C"
"Suisun Bay","Spring",15.9,"temperature","Deg C"
"Suisun Bay","Spring",15.6,"temperature","Deg C"
"Confluence","Spring",16,"temperature","Deg C"
"Suisun Bay","Spring",16.27,"temperature","Deg C"
"Confluence","Spring",15.81,"temperature","Deg C"
"Suisun Bay","Spring",15.79,"temperature","Deg C"
"Suisun Bay","Spring",16.05,"temperature","Deg C"
"Suisun Bay","Spring",15.91,"temperature","Deg C"
"Suisun Bay","Spring",16.3,"temperature","Deg C"
"Confluence","Spring",15.4,"temperature","Deg C"
"Confluence","Spring",15.43,"temperature","Deg C"
"Suisun Bay","Spring",15.37,"temperature","Deg C"
"Suisun Bay","Spring",16,"temperature","Deg C"
"Suisun Bay","Spring",15.19,"temperature","Deg C"
"Suisun Bay","Spring",15.64,"temperature","Deg C"
"Suisun Bay","Spring",16.03,"temperature","Deg C"
"Confluence","Spring",16.9,"temperature","Deg C"
"Suisun Bay","Spring",16.98,"temperature","Deg C"
"Suisun Bay","Spring",16.6,"temperature","Deg C"
"Suisun Bay","Spring",17.18,"temperature","Deg C"
"Suisun Bay","Spring",16.89,"temperature","Deg C"
"Confluence","Spring",16.58,"temperature","Deg C"
"Suisun Bay","Spring",16.61,"temperature","Deg C"
"Confluence","Spring",16.6,"temperature","Deg C"
"Confluence","Spring",15.74,"temperature","Deg C"
"Suisun Bay","Spring",15.8,"temperature","Deg C"
"Suisun Bay","Spring",15.87,"temperature","Deg C"
"Suisun Bay","Spring",14.97,"temperature","Deg C"
"Suisun Bay","Spring",15.81,"temperature","Deg C"
"Suisun Bay","Spring",15,"temperature","Deg C"
"Confluence","Spring",16.8,"temperature","Deg C"
"Suisun Bay","Spring",16.51,"temperature","Deg C"
"Suisun Bay","Spring",16.27,"temperature","Deg C"
"Suisun Bay","Spring",15.9,"temperature","Deg C"
"Suisun Bay","Spring",16.62,"temperature","Deg C"
"Confluence","Spring",16.14,"temperature","Deg C"
"Suisun Bay","Spring",15.9,"temperature","Deg C"
"Suisun Bay","Spring",15.9,"temperature","Deg C"
"Suisun Bay","Spring",16.22,"temperature","Deg C"
"Suisun Bay","Spring",16.27,"temperature","Deg C"
"Suisun Bay","Spring",15.8,"temperature","Deg C"
"Suisun Bay","Spring",15.78,"temperature","Deg C"
"Confluence","Spring",15.69,"temperature","Deg C"
"Confluence","Summer",16.5,"temperature","Deg C"
"Confluence","Summer",16.1,"temperature","Deg C"
"Confluence","Summer",16.05,"temperature","Deg C"
"Suisun Bay","Summer",16.13,"temperature","Deg C"
"Suisun Bay","Summer",15.84,"temperature","Deg C"
"Suisun Bay","Summer",15.8,"temperature","Deg C"
"Suisun Bay","Summer",16.15,"temperature","Deg C"
"Suisun Bay","Summer",16.18,"temperature","Deg C"
"Confluence","Summer",18.2,"temperature","Deg C"
"Suisun Bay","Spring",12.17,"temperature","Deg C"
"Suisun Bay","Spring",12,"temperature","Deg C"
"Suisun Bay","Spring",12.23,"temperature","Deg C"
"Suisun Bay","Spring",12,"temperature","Deg C"
"Confluence","Spring",12.2,"temperature","Deg C"
"Suisun Bay","Spring",12.26,"temperature","Deg C"
"Confluence","Spring",13.41,"temperature","Deg C"
"Suisun Bay","Spring",13.74,"temperature","Deg C"
"Suisun Bay","Spring",14.51,"temperature","Deg C"
"Suisun Bay","Spring",14.04,"temperature","Deg C"
"Suisun Bay","Spring",13.97,"temperature","Deg C"
"Suisun Bay","Spring",14,"temperature","Deg C"
"Confluence","Spring",14.05,"temperature","Deg C"
"Suisun Bay","Spring",13.82,"temperature","Deg C"
"Suisun Bay","Spring",13.98,"temperature","Deg C"
"Suisun Bay","Spring",13.95,"temperature","Deg C"
"Suisun Bay","Spring",13.59,"temperature","Deg C"
"Suisun Bay","Spring",14,"temperature","Deg C"
"Suisun Bay","Spring",15.21,"temperature","Deg C"
"Suisun Bay","Spring",15,"temperature","Deg C"
"Suisun Bay","Spring",15.2,"temperature","Deg C"
"Confluence","Spring",15.02,"temperature","Deg C"
"Suisun Bay","Spring",15.33,"temperature","Deg C"
"Suisun Bay","Spring",14.97,"temperature","Deg C"
"Suisun Bay","Spring",17.55,"temperature","Deg C"
"Suisun Bay","Spring",17.65,"temperature","Deg C"
"Suisun Bay","Spring",17.7,"temperature","Deg C"
"Suisun Bay","Spring",17.58,"temperature","Deg C"
"Suisun Bay","Spring",17.65,"temperature","Deg C"
"Confluence","Spring",17.34,"temperature","Deg C"
"Suisun Bay","Spring",18.57,"temperature","Deg C"
"Suisun Bay","Spring",18.61,"temperature","Deg C"
"Suisun Bay","Spring",18.53,"temperature","Deg C"
"Suisun Bay","Spring",18.77,"temperature","Deg C"
"Confluence","Spring",18.59,"temperature","Deg C"
"Suisun Bay","Spring",18.6,"temperature","Deg C"
"Suisun Bay","Spring",19.2,"temperature","Deg C"
"Confluence","Spring",18.23,"temperature","Deg C"
"Suisun Bay","Spring",18.61,"temperature","Deg C"
"Suisun Bay","Spring",19.2,"temperature","Deg C"
"Suisun Bay","Spring",18.6,"temperature","Deg C"
"Suisun Bay","Spring",18.52,"temperature","Deg C"
"Suisun Bay","Spring",19.08,"temperature","Deg C"
"Suisun Bay","Spring",18.96,"temperature","Deg C"
"Suisun Bay","Spring",19,"temperature","Deg C"
"Confluence","Spring",18.61,"temperature","Deg C"
"Suisun Bay","Spring",19,"temperature","Deg C"
"Suisun Bay","Spring",18.93,"temperature","Deg C"
"Suisun Bay","Spring",19.03,"temperature","Deg C"
"Suisun Bay","Spring",18.9,"temperature","Deg C"
"Confluence","Spring",18.73,"temperature","Deg C"
"Suisun Bay","Spring",18.92,"temperature","Deg C"
"Suisun Bay","Spring",19,"temperature","Deg C"
"Suisun Bay","Spring",18.85,"temperature","Deg C"
"Suisun Bay","Spring",19.2,"temperature","Deg C"
"Suisun Bay","Spring",19.2,"temperature","Deg C"
"Confluence","Spring",18.8,"temperature","Deg C"
"Suisun Bay","Spring",18.52,"temperature","Deg C"
"Suisun Bay","Spring",18.56,"temperature","Deg C"
"Suisun Bay","Spring",18.94,"temperature","Deg C"
"Suisun Bay","Summer",19.63,"temperature","Deg C"
"Suisun Bay","Summer",19.08,"temperature","Deg C"
"Suisun Bay","Summer",18.77,"temperature","Deg C"
"Suisun Bay","Fall",21.17,"temperature","Deg C"
"Suisun Bay","Fall",21.71,"temperature","Deg C"
"Suisun Bay","Fall",21.21,"temperature","Deg C"
"Suisun Bay","Fall",22.05,"temperature","Deg C"
"Suisun Bay","Fall",22.68,"temperature","Deg C"
"Suisun Bay","Fall",22.87,"temperature","Deg C"
"Confluence","Fall",18.94,"temperature","Deg C"
"Central Delta","Fall",16.67,"temperature","Deg C"
"Central Delta","Fall",16.02,"temperature","Deg C"
"South Delta","Fall",19.01,"temperature","Deg C"
"Central Delta","Fall",13.72,"temperature","Deg C"
"Sacramento River","Fall",17.5,"temperature","Deg C"
"Sacramento River","Fall",17.3,"temperature","Deg C"
"Sacramento River","Fall",16.5,"temperature","Deg C"
"Sacramento River","Fall",16.2,"temperature","Deg C"
"Central Delta","Fall",15.48,"temperature","Deg C"
"Sacramento River","Fall",16.4,"temperature","Deg C"
"North Delta","Fall",17.5,"temperature","Deg C"
"Sacramento River","Fall",17.5,"temperature","Deg C"
"Confluence","Fall",17.4,"temperature","Deg C"
"Sacramento River","Fall",15.9,"temperature","Deg C"
"Sacramento River","Fall",17.2,"temperature","Deg C"
"Sacramento River","Fall",17.2,"temperature","Deg C"
"Confluence","Fall",17.6,"temperature","Deg C"
"Confluence","Fall",17.5,"temperature","Deg C"
"North Delta","Fall",17.3,"temperature","Deg C"
"North Delta","Fall",17.3,"temperature","Deg C"
"North Delta","Fall",17.6,"temperature","Deg C"
"Central Delta","Fall",18.1,"temperature","Deg C"
"Central Delta","Fall",19,"temperature","Deg C"
"Confluence","Fall",17.1,"temperature","Deg C"
"Central Delta","Fall",19.2,"temperature","Deg C"
"North Delta","Fall",17.9,"temperature","Deg C"
"Sacramento River","Fall",17.9,"temperature","Deg C"
"Central Delta","Fall",18.1,"temperature","Deg C"
"North Delta","Fall",20,"temperature","Deg C"
"Sacramento River","Fall",16.66,"temperature","Deg C"
"Central Delta","Fall",18.42,"temperature","Deg C"
"Central Delta","Fall",10.95,"temperature","Deg C"
"South Delta","Fall",17.18,"temperature","Deg C"
"Central Delta","Fall",13.71,"temperature","Deg C"
"North Delta","Fall",13.6,"temperature","Deg C"
"North Delta","Fall",13.9,"temperature","Deg C"
"Sacramento River","Fall",12.8,"temperature","Deg C"
"Confluence","Fall",14.2,"temperature","Deg C"
"North Delta","Fall",12.3,"temperature","Deg C"
"North Delta","Fall",13.4,"temperature","Deg C"
"Confluence","Fall",14.3,"temperature","Deg C"
"Confluence","Fall",13.8,"temperature","Deg C"
"Sacramento River","Fall",11.2,"temperature","Deg C"
"Central Delta","Fall",13.9,"temperature","Deg C"
"Sacramento River","Fall",12,"temperature","Deg C"
"Sacramento River","Fall",13.3,"temperature","Deg C"
"Sacramento River","Fall",12.9,"temperature","Deg C"
"Central Delta","Fall",13.9,"temperature","Deg C"
"Confluence","Fall",13.8,"temperature","Deg C"
"Central Delta","Fall",14.5,"temperature","Deg C"
"Central Delta","Fall",13.8,"temperature","Deg C"
"Sacramento River","Fall",13.1,"temperature","Deg C"
"North Delta","Fall",12.4,"temperature","Deg C"
"North Delta","Fall",10.3,"temperature","Deg C"
"North Delta","Winter",8.9,"temperature","Deg C"
"Central Delta","Winter",9.3,"temperature","Deg C"
"Sacramento River","Winter",8.5,"temperature","Deg C"
"Sacramento River","Winter",9,"temperature","Deg C"
"Sacramento River","Winter",8.9,"temperature","Deg C"
"Confluence","Winter",9.5,"temperature","Deg C"
"Sacramento River","Winter",8.3,"temperature","Deg C"
"Sacramento River","Winter",9,"temperature","Deg C"
"Confluence","Winter",9.4,"temperature","Deg C"
"North Delta","Winter",7.5,"temperature","Deg C"
"North Delta","Winter",9.1,"temperature","Deg C"
"North Delta","Winter",8.4,"temperature","Deg C"
"Confluence","Winter",9.5,"temperature","Deg C"
"Central Delta","Winter",9.3,"temperature","Deg C"
"Confluence","Winter",9.3,"temperature","Deg C"
"Central Delta","Winter",8.1,"temperature","Deg C"
"Central Delta","Winter",9.7,"temperature","Deg C"
"Central Delta","Winter",10,"temperature","Deg C"
"Central Delta","Winter",10.58,"temperature","Deg C"
"South Delta","Winter",7.4,"temperature","Deg C"
"Central Delta","Winter",5.71,"temperature","Deg C"
"Sacramento River","Winter",7.19,"temperature","Deg C"
"Sacramento River","Winter",7.09,"temperature","Deg C"
"Central Delta","Winter",11.33,"temperature","Deg C"
"Sacramento River","Winter",11.1,"temperature","Deg C"
"North Delta","Winter",11.6,"temperature","Deg C"
"North Delta","Winter",7.9,"temperature","Deg C"
"Central Delta","Winter",9.2,"temperature","Deg C"
"Central Delta","Winter",9.2,"temperature","Deg C"
"North Delta","Winter",8.9,"temperature","Deg C"
"Central Delta","Winter",8.4,"temperature","Deg C"
"Central Delta","Winter",14.61,"temperature","Deg C"
"Central Delta","Winter",10.85,"temperature","Deg C"
"South Delta","Winter",10.87,"temperature","Deg C"
"Central Delta","Winter",16.8,"temperature","Deg C"
"Sacramento River","Winter",10.2,"temperature","Deg C"
"Sacramento River","Winter",10.4,"temperature","Deg C"
"Sacramento River","Winter",10.5,"temperature","Deg C"
"North Delta","Winter",9.9,"temperature","Deg C"
"Central Delta","Winter",8.6,"temperature","Deg C"
"Confluence","Winter",8.4,"temperature","Deg C"
"Sacramento River","Winter",8.2,"temperature","Deg C"
"Sacramento River","Winter",8.3,"temperature","Deg C"
"Sacramento River","Winter",8.3,"temperature","Deg C"
"North Delta","Winter",8.4,"temperature","Deg C"
"North Delta","Winter",8.5,"temperature","Deg C"
"Confluence","Winter",8.5,"temperature","Deg C"
"North Delta","Winter",8.2,"temperature","Deg C"
"North Delta","Winter",8.3,"temperature","Deg C"
"Sacramento River","Winter",8.4,"temperature","Deg C"
"Sacramento River","Winter",8.4,"temperature","Deg C"
"Central Delta","Winter",10.1,"temperature","Deg C"
"North Delta","Winter",8.8,"temperature","Deg C"
"Central Delta","Winter",9.2,"temperature","Deg C"
"Central Delta","Winter",9.8,"temperature","Deg C"
"Confluence","Winter",9,"temperature","Deg C"
"Central Delta","Winter",8.5,"temperature","Deg C"
"Confluence","Winter",8.9,"temperature","Deg C"
"Central Delta","Winter",10.2,"temperature","Deg C"
"Central Delta","Winter",9.8,"temperature","Deg C"
"Central Delta","Winter",12.02,"temperature","Deg C"
"Central Delta","Winter",10.48,"temperature","Deg C"
"Central Delta","Winter",11.43,"temperature","Deg C"
"South Delta","Winter",14.48,"temperature","Deg C"
"Sacramento River","Winter",10.73,"temperature","Deg C"
"Central Delta","Winter",9.8,"temperature","Deg C"
"North Delta","Winter",9,"temperature","Deg C"
"Central Delta","Winter",11.1,"temperature","Deg C"
"Central Delta","Winter",10.4,"temperature","Deg C"
"Sacramento River","Winter",10.7,"temperature","Deg C"
"Sacramento River","Winter",10.7,"temperature","Deg C"
"North Delta","Winter",15.7,"temperature","Deg C"
"Sacramento River","Winter",16.9,"temperature","Deg C"
"North Delta","Winter",13.2,"temperature","Deg C"
"North Delta","Winter",12.7,"temperature","Deg C"
"North Delta","Winter",13,"temperature","Deg C"
"Central Delta","Winter",12.6,"temperature","Deg C"
"Confluence","Winter",12.9,"temperature","Deg C"
"Confluence","Winter",12.8,"temperature","Deg C"
"Sacramento River","Winter",12.3,"temperature","Deg C"
"Sacramento River","Winter",13,"temperature","Deg C"
"Sacramento River","Winter",11.4,"temperature","Deg C"
"Sacramento River","Winter",11.7,"temperature","Deg C"
"Sacramento River","Winter",12.4,"temperature","Deg C"
"Confluence","Winter",12.4,"temperature","Deg C"
"North Delta","Winter",13,"temperature","Deg C"
"North Delta","Winter",12.6,"temperature","Deg C"
"Central Delta","Winter",11.1,"temperature","Deg C"
"Central Delta","Winter",12.1,"temperature","Deg C"
"Central Delta","Winter",12.2,"temperature","Deg C"
"Central Delta","Winter",11.9,"temperature","Deg C"
"North Delta","Winter",11.7,"temperature","Deg C"
"Central Delta","Winter",11,"temperature","Deg C"
"Central Delta","Winter",12.7,"temperature","Deg C"
"Confluence","Winter",12.7,"temperature","Deg C"
"Central Delta","Spring",11.6,"temperature","Deg C"
"Central Delta","Spring",11.1,"temperature","Deg C"
"Central Delta","Spring",11.4,"temperature","Deg C"
"North Delta","Spring",10.9,"temperature","Deg C"
"Central Delta","Spring",11.4,"temperature","Deg C"
"Central Delta","Spring",11.1,"temperature","Deg C"
"North Delta","Spring",9.1,"temperature","Deg C"
"Central Delta","Spring",12.4,"temperature","Deg C"
"Central Delta","Spring",13.5,"temperature","Deg C"
"Central Delta","Spring",13.6,"temperature","Deg C"
"Central Delta","Spring",12.28,"temperature","Deg C"
"Central Delta","Spring",15.15,"temperature","Deg C"
"Central Delta","Spring",12.65,"temperature","Deg C"
"South Delta","Spring",14.56,"temperature","Deg C"
"North Delta","Spring",12.5,"temperature","Deg C"
"North Delta","Spring",14.1,"temperature","Deg C"
"Central Delta","Spring",12.5,"temperature","Deg C"
"Sacramento River","Spring",16.4,"temperature","Deg C"
"Confluence","Spring",13.21,"temperature","Deg C"
"Central Delta","Spring",14.3,"temperature","Deg C"
"Central Delta","Spring",15,"temperature","Deg C"
"Confluence","Spring",14.47,"temperature","Deg C"
"Central Delta","Spring",14.8,"temperature","Deg C"
"Confluence","Spring",14.37,"temperature","Deg C"
"Central Delta","Spring",16.46,"temperature","Deg C"
"South Delta","Spring",20.8,"temperature","Deg C"
"Central Delta","Spring",16.6,"temperature","Deg C"
"Central Delta","Spring",11.14,"temperature","Deg C"
"Central Delta","Spring",12.28,"temperature","Deg C"
"Confluence","Spring",14.14,"temperature","Deg C"
"North Delta","Spring",15.3,"temperature","Deg C"
"North Delta","Spring",16.4,"temperature","Deg C"
"Sacramento River","Spring",13.4,"temperature","Deg C"
"Sacramento River","Spring",13.1,"temperature","Deg C"
"Sacramento River","Spring",13.9,"temperature","Deg C"
"Sacramento River","Spring",17.6,"temperature","Deg C"
"North Delta","Spring",14.9,"temperature","Deg C"
"North Delta","Spring",16.9,"temperature","Deg C"
"North Delta","Spring",16.8,"temperature","Deg C"
"Sacramento River","Spring",4,"temperature","Deg C"
"Sacramento River","Spring",10.2,"temperature","Deg C"
"Sacramento River","Spring",8.2,"temperature","Deg C"
"Sacramento River","Spring",10.4,"temperature","Deg C"
"Sacramento River","Spring",13.1,"temperature","Deg C"
"Sacramento River","Spring",7.8,"temperature","Deg C"
"Sacramento River","Spring",12.6,"temperature","Deg C"
"Sacramento River","Spring",16.6,"temperature","Deg C"
"Sacramento River","Spring",17.6,"temperature","Deg C"
"Sacramento River","Spring",9.6,"temperature","Deg C"
"Confluence","Spring",16.83,"temperature","Deg C"
"Sacramento River","Spring",13.2,"temperature","Deg C"
"Sacramento River","Spring",13.8,"temperature","Deg C"
"Sacramento River","Spring",14,"temperature","Deg C"
"Sacramento River","Spring",6.5,"temperature","Deg C"
"Sacramento River","Spring",16.9,"temperature","Deg C"
"Sacramento River","Spring",16.1,"temperature","Deg C"
"North Delta","Spring",16.9,"temperature","Deg C"
"North Delta","Spring",17.4,"temperature","Deg C"
"Sacramento River","Spring",16.6,"temperature","Deg C"
"Sacramento River","Spring",17.7,"temperature","Deg C"
"North Delta","Spring",16.8,"temperature","Deg C"
"Sacramento River","Spring",17.5,"temperature","Deg C"
"North Delta","Spring",16.7,"temperature","Deg C"
"Sacramento River","Spring",17,"temperature","Deg C"
"Central Delta","Spring",15.03,"temperature","Deg C"
"Central Delta","Spring",14.56,"temperature","Deg C"
"Central Delta","Spring",12.99,"temperature","Deg C"
"South Delta","Spring",18.72,"temperature","Deg C"
"Central Delta","Spring",12.2,"temperature","Deg C"
"Central Delta","Spring",16.08,"temperature","Deg C"
"Sacramento River","Spring",14.56,"temperature","Deg C"
"Confluence","Spring",16.48,"temperature","Deg C"
"Sacramento River","Spring",18.6,"temperature","Deg C"
"North Delta","Spring",17,"temperature","Deg C"
"North Delta","Spring",18.4,"temperature","Deg C"
"North Delta","Spring",16.7,"temperature","Deg C"
"Sacramento River","Spring",19.7,"temperature","Deg C"
"Sacramento River","Spring",6.7,"temperature","Deg C"
"Sacramento River","Spring",11.7,"temperature","Deg C"
"Sacramento River","Spring",14.4,"temperature","Deg C"
"Sacramento River","Spring",13.7,"temperature","Deg C"
"Sacramento River","Spring",10.9,"temperature","Deg C"
"Sacramento River","Spring",11.8,"temperature","Deg C"
"Sacramento River","Spring",12.8,"temperature","Deg C"
"Sacramento River","Spring",15.3,"temperature","Deg C"
"Confluence","Spring",16.16,"temperature","Deg C"
"Sacramento River","Spring",15.3,"temperature","Deg C"
"Sacramento River","Spring",13.8,"temperature","Deg C"
"Sacramento River","Spring",13.8,"temperature","Deg C"
"Sacramento River","Spring",15.7,"temperature","Deg C"
"Sacramento River","Spring",10.3,"temperature","Deg C"
"North Delta","Summer",19.8,"temperature","Deg C"
"Sacramento River","Summer",19.9,"temperature","Deg C"
"North Delta","Summer",20.1,"temperature","Deg C"
"Sacramento River","Summer",18.7,"temperature","Deg C"
"Sacramento River","Summer",19.5,"temperature","Deg C"
"South Delta","Summer",23.6,"temperature","Deg C"
"Central Delta","Summer",25.1,"temperature","Deg C"
"Central Delta","Summer",18.48,"temperature","Deg C"
"Central Delta","Summer",24.43,"temperature","Deg C"
"Central Delta","Summer",19.92,"temperature","Deg C"
"Sacramento River","Summer",17.7,"temperature","Deg C"
"Sacramento River","Summer",17.5,"temperature","Deg C"
"Sacramento River","Summer",22.1,"temperature","Deg C"
"North Delta","Summer",19.8,"temperature","Deg C"
"North Delta","Summer",22.1,"temperature","Deg C"
"Confluence","Summer",19.91,"temperature","Deg C"
"Sacramento River","Summer",9.6,"temperature","Deg C"
"Sacramento River","Summer",11.6,"temperature","Deg C"
"Sacramento River","Summer",13.4,"temperature","Deg C"
"Sacramento River","Summer",8.4,"temperature","Deg C"
"Sacramento River","Summer",16,"temperature","Deg C"
"Sacramento River","Summer",9.4,"temperature","Deg C"
"Sacramento River","Summer",12.3,"temperature","Deg C"
"Sacramento River","Summer",7.4,"temperature","Deg C"
"Sacramento River","Summer",9.4,"temperature","Deg C"
"Confluence","Summer",20,"temperature","Deg C"
"Sacramento River","Summer",15.2,"temperature","Deg C"
"Sacramento River","Summer",6,"temperature","Deg C"
"Sacramento River","Summer",15.8,"temperature","Deg C"
"Sacramento River","Summer",4.8,"temperature","Deg C"
"Sacramento River","Summer",12.6,"temperature","Deg C"
"Central Delta","Summer",29.01,"temperature","Deg C"
"Central Delta","Summer",20.88,"temperature","Deg C"
"Central Delta","Summer",19.95,"temperature","Deg C"
"South Delta","Summer",24.83,"temperature","Deg C"
"Central Delta","Summer",26.06,"temperature","Deg C"
"Central Delta","Summer",23.71,"temperature","Deg C"
"Sacramento River","Summer",22.1,"temperature","Deg C"
"North Delta","Summer",17.3,"temperature","Deg C"
"North Delta","Summer",22.2,"temperature","Deg C"
"North Delta","Summer",20.5,"temperature","Deg C"
"Central Delta","Summer",19.6,"temperature","Deg C"
"Central Delta","Summer",25.44,"temperature","Deg C"
"Central Delta","Summer",25.67,"temperature","Deg C"
"Central Delta","Summer",22.03,"temperature","Deg C"
"Central Delta","Summer",20.83,"temperature","Deg C"
"South Delta","Summer",24.45,"temperature","Deg C"
"Central Delta","Summer",20.76,"temperature","Deg C"
"Sacramento River","Summer",20.5,"temperature","Deg C"
"Sacramento River","Summer",23,"temperature","Deg C"
"North Delta","Summer",21.4,"temperature","Deg C"
"North Delta","Summer",17.7,"temperature","Deg C"
"Confluence","Fall",20.5,"temperature","Deg C"
"Confluence","Fall",21.03,"temperature","Deg C"
"Central Delta","Fall",20.18,"temperature","Deg C"
"Central Delta","Fall",25,"temperature","Deg C"
"Central Delta","Fall",27.19,"temperature","Deg C"
"Central Delta","Fall",25,"temperature","Deg C"
"Central Delta","Fall",21.57,"temperature","Deg C"
"South Delta","Fall",22.84,"temperature","Deg C"
"North Delta","Fall",20,"temperature","Deg C"
"Central Delta","Fall",17.85,"temperature","Deg C"
"Sacramento River","Fall",19.48,"temperature","Deg C"
"North Delta","Fall",20.8,"temperature","Deg C"
"North Delta","Fall",18.8,"temperature","Deg C"
"Sacramento River","Fall",21.4,"temperature","Deg C"
"Sacramento River","Fall",17.7,"temperature","Deg C"
"Sacramento River","Fall",17.9,"temperature","Deg C"
"Central Delta","Fall",24.51,"temperature","Deg C"
"South Delta","Fall",21.23,"temperature","Deg C"
"Central Delta","Fall",19.64,"temperature","Deg C"
"Central Delta","Fall",17.21,"temperature","Deg C"
"North Delta","Fall",15.7,"temperature","Deg C"
"Sacramento River","Fall",16.7,"temperature","Deg C"
"North Delta","Fall",18.3,"temperature","Deg C"
"Sacramento River","Fall",15.8,"temperature","Deg C"
"Sacramento River","Fall",16.1,"temperature","Deg C"
"North Delta","Fall",12.2,"temperature","Deg C"
"Sacramento River","Fall",14,"temperature","Deg C"
"North Delta","Fall",15.6,"temperature","Deg C"
"Central Delta","Fall",12.37,"temperature","Deg C"
"Central Delta","Fall",12.25,"temperature","Deg C"
"South Delta","Fall",14.7,"temperature","Deg C"
"Sacramento River","Fall",14.6,"temperature","Deg C"
"Central Delta","Fall",13.9,"temperature","Deg C"
"Central Delta","Fall",13.09,"temperature","Deg C"
